
// E = stone/default
// G = glass-breakable
// W = WOOD
// S = snow
// R = grass
// P = plaster
// M = Metal
// C = Carpet
// U = glass-unbreakable
// D = Sand
// I = Dirt
// N = No Effects

// M missile/plate_dmetal // sample


////////////////////////////////////////
//SKY
///////////////////////////////////////

N special/sky
P austria/in_wall_fancy_base
P austria/in_wall_fancy_base_b
P austria/in_wall_slant
W austria/in_wood
W austria/in_wood_detail
W austria/in_wood_doors
W austria/in_wood_doors_above
W austria/in_wood_floor
W austria/in_wood_floor_trim
W austria/in_wood_ornate
W austria/in_wood_panel_square
W austria/in_wood_panel_wide
W austria/in_wood_pillar
W austria/in_wood_stair
W austria/in_wood_stair_front
W austria/in_wood_trim
W austria/in_wood_trim_fat
W austria/in_wood_trim_thin
W austria/in_woodlair1
S austria/path_snow
S austria/path_snow_corner
S austria/path_snow_end
S austria/path_snow_junct
M austria/pulley_wheel
M austria/pulley_wheel_edge
S austria/road_snow
S austria/road_snow_cross
S austria/road_snow_left
S austria/road_snow_right
S austria/road_snow_split
S austria/roof_snow
S austria/roof_snow_round
S austria/roof_snow_trans
S austria/roof_snow_trans_s
W austria/sawdust
E austria/shale
M austria/sign
S austria/snow_footprints
S austria/snow_main
S austria/snow_vent
E austria/stairs
E austria/stairs_snow
E austria/trim_arch_inner
E austria/trim_block
E austria/trim_fancy
E austria/trim_thin
E austria/vine_bot
E austria/vine_top
E austria/wall_dark_snow
E austria/wall_light
E austria/wall_light_dental
E austria/wall_light_snow
E austria/wall_light_snow_bot
E austria/wall_light_top
E austria/wall_light_top_bot
E austria/wall_light_trans
E austria/wall_trans_battle
U austria/window_glow
W austria/wood_plank_floor

////////////////////////////////////////////////////
//M2 Austria
////////////////////////////////////////////////////

U airfield/#building_b_window
M airfield/{catwalk_metal
M airfield/{gen_vent02
M airfield/{pipe_rail_single
M airfield/{venetianblinds1
M airfield/{venetianblinds2
M airfield/{venetianblinds3
W airfield/austria_chart
W airfield/austria_chart2
M airfield/barrel_side_1d
M airfield/barrel_side_boom1
M airfield/barrel_side_boom1a
M airfield/barrel_top_boom1
S airfield/barrel_top_boom1a
E airfield/building_a_detail_a
E airfield/building_a_detail_b
M airfield/building_a_door_b
M airfield/building_a_door_c
E airfield/building_a_ground_trim_b
E airfield/building_a_post_v
E airfield/building_a_roof_trim
E airfield/building_a_wall
U airfield/building_a_window
M airfield/building_b_beam
E airfield/building_b_ground_trim_a
M airfield/building_b_wall
E airfield/building_c_wall
M airfield/cargo_container_doors
M airfield/cargo_container_end
M airfield/cargo_container_side
M airfield/cargo_container_top
M airfield/cargo_crate_BL1
M airfield/cargo_crate_BL2
M airfield/cargo_crate_BL4
M airfield/cargo_crate_GR1
M airfield/cargo_crate_GR2
M airfield/cargo_crate_GR4
C airfield/carpet_c1
C airfield/carpet_c2
M airfield/ceiling_fan2
U airfield/ceiling_light_off2
U airfield/ceiling_light_on2
M airfield/checkerboard_tank
E airfield/concrete_beige_c
E airfield/concrete_beige_e
E airfield/concrete_beige_s
E airfield/concrete_wall_a
E airfield/concrete_wall_b
E airfield/concrete_wall_c
W airfield/desk_wood
M airfield/door_outside1
M airfield/electric_box
M airfield/fuel_tank_side
S airfield/fuel_tank_top
M airfield/hangar_door
M airfield/hangar_door_b
M airfield/mach_fan2a
M airfield/mach_panel_01a
M airfield/mach_panel_02a
M airfield/mach_vent2
M airfield/pipe_rail_trim
E airfield/runway_end_a
E airfield/runway_end_b
E airfield/runway_mid
E airfield/snow_concrete
S airfield/snow_railing_tops
S airfield/snowy_concrete_bump
S airfield/snowy_concrete_c1
S airfield/snowy_concrete_c2
S airfield/snowy_concrete_dent
S airfield/snowy_concrete_edge
M airfield/struts_dmetal_trim
M airfield/tread_hatch_snow
M airfield/treadplate_steps1
M airfield/treadplate_steps2
M airfield/treadplate_steps3
W airfield/wall_b3_trimmed
W airfield/wood_panel_128


////////////////////////////////////////////////////
//M3 Japan
////////////////////////////////////////////////////


P japanese/bath_tile_floor_a
P japanese/bath_tile_floor_b
P japanese/bath_tile_wall
E japanese/bird_painting
W japanese/boy_painting
W japanese/cabinet_01
W japanese/cabinet_01
W japanese/chest
W japanese/closet_door
W japanese/closet_door_02
E japanese/counter_top
E japanese/decorative_gravel
E japanese/decorative_gravel_dark
W japanese/door_gate_01
W japanese/door_sliding_weathered_trim_01
M japanese/door_track
W japanese/facade
E japanese/flagstone
W japanese/flecked_plaster
M japanese/fridge
W japanese/front_door
W japanese/front_door_inside
W japanese/geisha_lamp_painting
W japanese/horse_painting
W japanese/in_ceiling
W japanese/in_ceiling_b
W japanese/in_cupboard_a
W japanese/in_cupboard_b
W japanese/in_cupboard_c
W japanese/in_cupboard_d
W japanese/in_cupboard_side
W japanese/in_door
M japanese/in_dvd
p japanese/in_floor_tile
U japanese/in_tv
W japanese/in_wall_paper_a
W japanese/in_wall_paper_b
W japanese/in_wall_paper_c
W japanese/in_wall_paper_d
W japanese/in_wall_paper_e
W japanese/in_wall_paper_f
W japanese/in_wall_paper_g
W japanese/in_wall_paper_h
W japanese/in_wood_floor
W japanese/islands_mural
W japanese/kitchen_door_fold
W japanese/kitchen_door_fold_b
U japanese/light_generic_yellow_002
U japanese/light_generic_yellow_003
U japanese/light_panel_001
M japanese/metal_cabinet_side
W japanese/modern_art_a
W japanese/modern_art_b
W japanese/mountain_painting
I japanese/mulch_03
I japanese/mulch_sm_03
I japanese/out_path
W japanese/out_wall_paper_a
W japanese/out_wall_paper_b
W japanese/out_wall_paper_c
W japanese/out_wall_paper_d
I japanese/pond_floor
I japanese/pond_transition
I japanese/pond_transition_gravel
M japanese/range
M japanese/range_top
P japanese/roof_ceramic_grey
W japanese/stair_front
W japanese/stair_top
E japanese/stone_wall_garden
W japanese/sword_painting
W japanese/tree_people_painting
W japanese/trim_door_sliding_001
W japanese/trunk_front
W japanese/trunk_side
W japanese/trunk_top
P japanese/wall_001
E japanese/wall_low_side
E japanese/wall_low_top
W japanese/wallw_002
W japanese/wave_mural
W japanese/wood_carving_01
W japanese/woods_plank_001
W japanese/woods_plank_002
W japanese/woods_plank_003
W japanese/woods_plank_005



/////////////////////////////////////
//mission 4/6
/////////////////////////////////////

M osato/#holomachine

M osato/#security_mon_a
M osato/#security_mon_c
M osato/#security_mon_d
M osato/#security_mon_e
M osato/#security_mon_f
M osato/#security_mon_g
M osato/#security_mon_h
P osato/{ceiling_tile_frame
P osato/{ceiling_tile_frame2
M osato/{sign_number1
M osato/{sign_number2
M osato/{sign_number3
M osato/{signs_c
M osato/{turbine11
M osato/{turbine4
M osato/ac_gravel
M osato/ac1
M osato/ac1a
M osato/ac2
M osato/ac2a
M osato/ac3
M osato/ac3a
M osato/ac4
M osato/ac4a
M osato/ac5
M osato/ac5a
M osato/air_duct
M osato/alarm_trim
M osato/antique_safe1
M osato/antique_safe2
M osato/antique_safe3
M osato/antique_safe4
M osato/antique_safe5
M osato/barrel_side
M osato/barrel_top
E osato/bconcrete_01
E osato/bconcrete_02
E osato/bconcrete_base
M osato/brushed_aluminium
M osato/brushed_aluminium_bar
M osato/brushed_aluminium_med
M osato/cabinet
W osato/cabinet1
W osato/cabinet2
W osato/cabinet3
W osato/cabinet4
W osato/cabinet5
C osato/carpet_a1
C osato/carpet_a2
C osato/carpet_a3
C osato/carpet_b1
C osato/carpet_b2
C osato/carpet_b3
C osato/carpetlogo1
C osato/carpetlogo2
P osato/ceiling_tile
M osato/compcart_doors1
M osato/computer
E osato/concrete_ceiling
E osato/concrete_plain_01
E osato/concrete_plain_02
E osato/concrete_wall
E osato/concrete_x
M osato/copy_machine01
M osato/copy_machine02
M osato/copy_machine02b
M osato/copy_machine03
M osato/copy_machine03b
M osato/copy_machine04
M osato/copy_machine05
M osato/copy_machine06
M osato/copy_machine07
M osato/copy_machine08
M osato/copy_machine09
W osato/crate_side1
W osato/crate_top
C osato/ctf_carpet1
U osato/directory
M osato/door_black
M osato/door_grey_1
W osato/door_lobby
M osato/door_private
W osato/door_wood
E osato/dragon
E osato/dragon_edge
M osato/electric_01
M osato/electric_02
M osato/electric_03
M osato/electric_04
M osato/elevator_doors
M osato/elevator_interior1
M osato/elevator_interior2
M osato/elevator_interior2a
M osato/elevator_interior3
M osato/elevator_interior3a
M osato/elevator_interiorA
M osato/elevator_interiorSM1
M osato/elevator_interiorSM2
M osato/elevator_interiorSM3

M osato/elevator_numbers
E osato/elevator_wall
E osato/elevator_wallA
M osato/elevator-top1
E osato/ext_concrete_base
E osato/ext_concrete_corner_base
M osato/fan
M osato/fancy_elevator_doors
M osato/file_drawers
M osato/filingcabinet_front
M osato/filingcabinet_side
E osato/floor_granite
E osato/floor_granite_logo
E osato/floor_granite_sm
M osato/fluorlight_01
M osato/fluorlight_02
M osato/fusebox
M osato/fusebox2
M osato/gate_bottom
M osato/gblue_drawers
M osato/gblue_fan
M osato/gblue_panel_01
M osato/gblue_panel_02
M osato/gblue_vent
G osato/glass
G osato/glass_01
G osato/glass_02
G osato/glass_03
G osato/glass_04
G osato/glass_green01
P osato/gravel
P osato/gravel_swirl_large
P osato/gravel_swirl_small
E osato/grey_masonite
R osato/grnd_grassdirt_small
E osato/helipad
M osato/holomachine
M osato/holomachine_desk
M osato/holomachine_desk2
M osato/holomachineoff
E osato/kitchenflr1
E osato/kitchenflr2
M osato/kitchenflr3
M osato/kitchentile1
P osato/kitchentop1
P osato/kitchentop2
P osato/kitchenwall1_sm
M osato/mach_drawers1
M osato/mach_drawers2
M osato/mach_fan
M osato/mach_panel_01
M osato/mach_panel_02
M osato/mach_vent
M osato/machine_end
M osato/machine_side
M osato/metal_cont_1
M osato/metal_cont_1a
M osato/metal_cont_2
M osato/metal_cont_2a
M osato/metal_generic
P osato/office_divider
M osato/office_divider_post
M osato/office_door_a
M osato/office_door_b
M osato/office_door_c
M osato/office_door_d
W osato/office_door_g
M osato/officesign1_1
M osato/officesign1_2
M osato/officesign1_3
M osato/officesign1_4
M osato/officesign1_5
M osato/officesign1_6
M osato/officesign1_7
M osato/officesign2_1
M osato/officesign2_2
M osato/officesign2_3
M osato/officesign2_4
M osato/officesign2_5
M osato/officesign2_6
M osato/officesign2_7
M osato/outter-elev1
M osato/outter-elev2
M osato/outter-elev3
P osato/painting_a1
P osato/painting_a2
P osato/painting_a3
P osato/painting_a4
P osato/painting_a5
P osato/painting_b1
P osato/painting_b2
P osato/painting_b3
P osato/painting_c1
P osato/painting_c2
P osato/painting_c3
P osato/painting_c4
E osato/pool_concrete
E osato/pool_concrete2
M osato/pool_dome
M osato/pool_support_edge_side
M osato/pool_treadplate
M osato/pool_treadplate_trim1
M osato/pool_treadplate_trim2
M osato/pushpin1
M osato/pushpin2
M osato/pushpin3
M osato/pushpin4
M osato/pushpin5
M osato/pushpin6
E osato/roof_broken_edge
E osato/roof_concrete_dark
E osato/roof_concrete_dark_sm
C osato/security_carpet
V osato/security_carpet_light
M osato/security_light_table
M osato/security_light_table_b
M osato/security_mon_a
M osato/security_mon_b
M osato/security_mon_c
M osato/security_mon_d
M osato/security_mon_e
M osato/security_mon_f
M osato/security_mon_g
M osato/security_mon_h
M osato/security_trim
C osato/security_wall
P osato/server_01
P osato/server_01b
P osato/server_02
P osato/server_02b
M osato/server_03
M osato/server_03b
M osato/sign_alarm
M osato/sign_ear
M osato/sign_fire
M osato/sign_numbers
M osato/signs_a
M osato/signs_b
M osato/signs_c
M osato/signs_d1
M osato/signs_d2
E osato/stairwell_paint_1
E osato/stairwell_paint_2
E osato/stairwell_paint_2a
M osato/suitesigns1
M osato/tech_door_left
M osato/tech_door_right
M osato/turbine1
M osato/turbine10
M osato/turbine11
M osato/turbine2
M osato/turbine4a
M osato/turbine5
M osato/turbine7
M osato/turbine6
M osato/turbine8
M osato/turbine9
M osato/vending_machine
M osato/vent_01
M osato/vent_02
P osato/wall_a1
P osato/wall_a1_med
P osato/wall_a1_sm
P osato/wall_a2
P osato/wall_a2_med
P osato/wall_a2_sm
P osato/wall_a3
P osato/wall_a3_med
P osato/wall_a3_sm
P osato/wall_b1
P osato/wall_b1_med
P osato/wall_b1_sm
P osato/wall_b2
P osato/wall_b2_med
P osato/wall_b2_sm
P osato/wall_b3
P osato/wall_b3_med
P osato/wall_b3_sm
P osato/wall_plain
P osato/wall_plain_med
P osato/wall_plain_sm
E osato/wall_red_granite
E osato/wall_red_granite_med
E osato/wall_red_granite_n
E osato/wall_red_granite_sm
W osato/wood_1
W osato/wood_1_burned


/////////////////////////////////////
//mission 5
/////////////////////////////////////

M power/barrel
M power/blackbolts16

M power/blackradiator32
M power/button01
M power/button01_off
M power/button01_on
M power/button02
M power/chrome32
E power/cinder_chi01
E power/cinder_painted_02

E power/cinder_painted_b
E power/cinder_painted_g
E power/cinder_painted_g2
E power/cinder_painted_gy
E power/cinder_painted_y
E power/cinder_seam01
E power/cinder01
E power/concfloor01
E power/concfloor02
E power/concfloor03

E power/concrete_floorA
E power/concrete_floorB
E power/concrete_floorC
E power/Concrete_rusty
E power/Concrete_rusty1
M power/cpanel_01_064x064
M power/cpanel_01_128x128
M power/cpanel_01_256x256
M power/cpanel_02a_128x128
M power/cpanel_02b_128x128

M power/cpanel_02c_128x128
M power/cpanel_02d_128x128
M power/cpanel_03a_064x064
M power/cpanel_03b_064x064
M power/cpanel_03c_064x064
M power/cpanel_03d_064x064
M power/cpanel_04a_064x064
M power/cpanel_04a1_064x064
M power/cpanel_04a2_064x064
M power/cpanel_04b_064x064

M power/cpanel_04b1_064x064
M power/cpanel_04b2_064x064
M power/cpanel_04c_064x064
M power/cpanel_04c1_064x064
M power/cpanel_04c2_064x064
M power/cpanel_04d_064x064
M power/cpanel_04d1_064x064
M power/cpanel_04d2_064x064
M power/cpanel_04e_064x064
M power/cpanel_04e1_064x064

M power/cpanel_04e2_064x064
W power/crate1
W power/crate2
M power/cylinder
M power/cylinderendrusty
M power/cylinderusty
P power/dirtypanel1
P power/dirtypanel2
M power/door_elevator
M power/door_elevator1

M power/door_elevator2
M power/door_elevator3
M power/door01
M power/door02
M power/drawers01
M power/drawers02
M power/drawers03
M power/drawers04
M power/drawers05
M power/drawers06

M power/electric_panel01
M power/electric_panel02
M power/electric_panel03
M power/electric_panel04
M power/electric_panel05
M power/equip_rusty
M power/exhaustbolt
M power/fanbig
M power/floortop
M power/girderusty

M power/greyband16
M power/greynose64
M power/grill_floor_end
M power/grill_wall
P power/insidebackpanel
P power/insidefloor64
M power/light_cover
M power/machinery_panelA
M power/machinery_panelB
M power/machinery_panelC

M power/machinery_panelD
M power/machinery_panelE
M power/machinery_panelF
M power/machinery_panelG
E power/material_concrete
M power/METAL_ductrusty
M power/METAL_ductrusty2
M power/metal_panelA
M power/metal_panelB
M power/metal_panelC

M power/metal_panelD
M power/metal_panelE
M power/metal_panelF
M power/metal_panelG
M power/metal_panelG_yellow
M power/metal_panelH
M power/METAL_pipe_floor
M power/METAL_Pipe_grime
M power/METAL_Pipe_grime2
M power/METAL_reactor

M power/METAL_reactor2
M power/metal01
M power/metalseam01
M power/metalseam02
M power/metalseam03
M power/metalseam04
M power/metalseam05
M power/metalseam06
M power/metalseam07
M power/metalseam08

M power/metalseam09
M power/metalseam10
M power/metalseam14
M power/metalseam15
M power/metalseam16
M power/metalseam17
M power/metalseam18
M power/metalseam19
M power/metalseam20
M power/metalseam21

M power/metalseam22
M power/metalseam23
M power/metalseam24
P power/nuke_crate_logo3
E power/paintedfloor01
E power/paintedfloor02
E power/paintedfloor03
E power/paintedfloor04
E power/paintedfloor05
E power/paintedfloor06

M power/panel_airlock_switch_bottom
M power/panel_airlock_switch_green
M power/panel_airlock_switch_red
M power/panel_airlock_switch_top
M power/panel_turbine_switch_bottom
M power/panel01
M power/panel01_solid
M power/panel02
M power/panel02olive
M power/panel03

M power/panel3rusty
M power/pipe_rusty
M power/pipe01
M power/pipe02
M power/pipe03
M power/pipe04
M power/pipe05
M power/pipe06
M power/pipe07
M power/pipe08

M power/pipe09
M power/pipe10
M power/pipe11
M power/pipe12
M power/pipe13
M power/plate01
M power/plate02
P power/platform01
P power/platform02-04
M power/platform07

P power/platform03
P power/platform05
P power/platform06
P power/platform07a
P power/platform08
P power/platform09
M power/platform10
P power/platform11
E power/PouredConcrete
M power/reactor_pipe

M power/reactor_rod
E power/rubble
I power/rust_stain
M power/rustgrill
P power/scifitiler
P power/shuttle_panel
M power/Sign_Arrow_01_RedWhite
M power/Sign_Arrow_02_BlueWhite
M power/Sign_Arrow_03_YellowBlk
M power/Sign_Arrow_04_BlueBlk

M power/Sign_Authorized_01_RedWhite
M power/Sign_Authorized_02_BlueWhite
M power/Sign_Authorized_03_YellowBlk
M power/Sign_Authorized_04_BlueBlk
M power/Sign_Caution_01_RedWhite
M power/Sign_Caution_02_BlueWhite
M power/Sign_Caution_03_YellowBlk
M power/Sign_Caution_04_BlueBlk
M power/Sign_CtrlRm1_01_RedWhite
M power/Sign_CtrlRm1_02_BlueWhite

M power/Sign_CtrlRm1_03_YellowBlk
M power/Sign_CtrlRm1_04_BlueBlk
M power/Sign_CtrlRm2_01_RedWhite
M power/Sign_CtrlRm2_02_BlueWhite
M power/Sign_CtrlRm2_03_YellowBlk
M power/Sign_CtrlRm2_04_BlueBlk
M power/Sign_Elevator_01_RedWhite
M power/Sign_Elevator_02_BlueWhite
M power/Sign_Elevator_03_YellowBlk
M power/Sign_Elevator_04_BlueBlk

M power/Sign_Generators_01_RedWhite
M power/Sign_Generators_02_BlueWhite
M power/Sign_Generators_03_YellowBlk
M power/Sign_Generators_04_BlueBlk
M power/Sign_Turbines_01_RedWhite
M power/Sign_Turbines_02_BlueWhite
M power/Sign_Turbines_03_YellowBlk
M power/Sign_Turbines_04_BlueBlk
M power/silverpanel64-2
M power/skip

M power/skipedge
M power/storepotop
M power/symbol_controlroom
M power/symbol_donotenter
M power/symbol_donotenter2
M power/symbol_storage
M power/symbol_workroom
M power/track01
M power/track02
M power/trim01

M power/tunnel_airlock
M power/tunnel_girder_bevelA
M power/tunnel_girder_bevelB
M power/tunnel_girderA
M power/tunnel_girderA2
M power/tunnel_seams01
M power/tunnel_seams02
M power/tunnel_wallA
M power/tunnel_wallA_nobracket
M power/tunnel_wallA_noends

M power/tunnel_wallA_noside
M power/tunnel_wallB
M power/tunnel_wallC
M power/wall_int_base1_128x256
M power/wall_int_base1_256x256
M power/wall_int_header1_128x256
P power/whitecloth64
P power/whitepanel32
P power/whitetiles64

/////////////////////////////////////
//07 Island
/////////////////////////////////////

M island/beam2_1
M island/beam2_2
M island/beam2_2a
M island/beam3_1
M island/beam3_2
M island/beam3_3
M island/beam3_3a
M island/beam3_4
M island/beam4_1
M island/beam4_2
E island/cliff1_1
M island/ctf_island1_1
M island/ctf_island1_2
M island/ctf_island2_1
M island/ctf_island2_2
M island/ctf_slidedoor_1
M island/ctf_slidedoor_2
M island/ctf_wall2_1a
M island/ctf_wall2_1b
M island/ctf_wall2_4a
M island/ctf_wall2_4b
M island/ctf_watertank1a
M island/ctf_watertank1b
M island/ctf_wmetl1_1
M island/ctf_wmetl2_2
M island/ground2_1
I island/ground2_1a
I island/ground3_1b
W island/hut1_1
W island/hut2_1
M island/I_beam2_2
M island/I_beam2_3
M island/I_beam2_4
M island/I_beam2_5
M island/I_beam2_6
M island/I_beam2_7
M island/I_beam3_1
M island/I_beam3_2
E island/Inner_cave1_1
E island/Inner_cave1_2
E island/Inner_cave1_3
E island/Inner_cave1_4
E island/isl_cavern1_1
E island/isl_cavern1_2
E island/isl_cavern2_1
E island/isl_cavern3_1
E island/isl_cavern3_2
E island/isl_cavern5_1
E island/isl_cavern6_3
E island/isl_cliff
E island/isl_cliff_base
E island/isl_cliff_btm
E island/isl_cliff_btm_2a
E island/isl_cliff_btm2
E island/isl_cliff_btm2a
E island/isl_cliff_btma
E island/isl_cliff_btmsand
E island/isl_cliff_btmsand1
E island/isl_cliff_btmsand1a
E island/isl_cliff_edge
E island/isl_cliff_edge1
E island/isl_cliff_edge1_2
E island/isl_cliff_mid
E island/isl_cliff_mid1
E island/isl_cliff_mid2
E island/isl_cliff_midTrans
E island/isl_cliff_top
E island/isl_cliff_wall
E island/isl_cliff_wall_btm
E island/isl_cliff_wall_mid
E island/isl_cliff_wallb
E island/isl_cliff1
E island/isl_cliff1_dm
E island/isl_cliffdark_10
E island/isl_cliffdark_11
E island/isl_cliffdark_12
E island/isl_cliffdark_13
E island/isl_cliffdark_15
E island/isl_cliffdark_9
E island/isl_cliffdark_edge
E island/isl_cliffdark_top
E island/isl_cliffgreen1_2
E island/isl_cliffnew
E island/isl_concrete_tran4a
E island/isl_concrete_tran4b
E island/isl_concrete1_6
E island/isl_concrete1_6a
E island/isl_concrete4_3
E island/isl_concrete5_6
E island/isl_concrete5_7
R island/isl_grass1
R island/isl_grass2
R island/isl_ground1_1
R island/isl_ground1_1a
R island/isl_ground3
R island/isl_path1
I island/isl_path1a
I island/isl_path2_1
I island/isl_path2_2
I island/isl_path2_3
R island/isl_rock_top
I island/isl_sand_tran2
D island/isl_sand_tran3
D island/isl_sand_tran5
D island/isl_sand_tran5_2_05-22-02
D island/isl_sand_tran6
D island/isl_sand1_3
D island/isl_sand1_4
D island/isl_sand2_1
I island/isl_sand2_4
I island/isl_sand2_5
I island/isl_Uwater1
I island/isl_Uwater3_1
E island/isle_base1_1
E island/isle_base1_2
E island/isle_base4_1
E island/isle_basewall2_1
E island/isle_basewall2_2
E island/isle_basewall2_3
E island/isle_basewall2_4
E island/isle_basewall2_4a
M island/isle_blmetl1_1
M island/isle_blumetl1_1
M island/isle_blwall1_1
E island/isle_brick1_1
E island/isle_brick1_2
E island/isle_brnwall1_1
E island/isle_cliff_10_1aa
E island/isle_cliffnew_base1
E island/isle_cliffnew_base2
E island/isle_cliffnew_base3
E island/isle_cliffnew_base4
E island/isle_cliffnew_edge
E island/isle_cliffnew_top
M island/isle_computer5_2
M island/isle_computer5_2_dam
M island/isle_computer5_3
M island/isle_computer5_4
G island/isle_computer5_5
G island/isle_computer5_5_dam
G island/isle_computer5_5_dam1
M island/isle_computer5_6
E island/isle_conc1_1
E island/isle_conc1_2
E island/isle_conc1_3
E island/isle_conc1_4
E island/isle_concflr1_1
E island/isle_concflr2_1
E island/isle_concflr2_1a
E island/isle_concrete
E island/isle_concrete_2a
M island/isle_console1_1_dam
M island/isle_console1_3
M island/isle_console2_1
M island/isle_console2_1_dam
M island/isle_console2_1a
M island/isle_console2_2
M island/isle_console2_7
M island/isle_console2_7a
M island/isle_console2_7b
M island/isle_console2_7b_dam1
M island/isle_console2_7c
M island/isle_console3_1
M island/isle_console3_1a
M island/isle_console3_1a_dam
M island/isle_console3_1a_dam2
M island/isle_console5_1
M island/isle_crate1
M island/isle_crate1_1
M island/isle_crate1_2
M island/isle_crate1_3
M island/isle_crate1a
M island/isle_crate2_1
M island/isle_crate2_2
M island/isle_crate2_3
M island/isle_ctile1_1
M island/isle_dem
M island/isle_door1_2
M island/isle_door1_3
M island/isle_door1_4
M island/isle_door1_5
M island/isle_door1_6
M island/isle_door2_1
M island/isle_door2_2
M island/isle_door2_3
M island/isle_door2_4
M island/isle_door3_1
M island/isle_edge
P island/isle_equiprm1_1
P island/isle_equiprm1_2
P island/isle_equiprm1_3
M island/isle_gratewall2_1
M island/isle_gratewall2_1a
E island/isle_graywall1_1
E island/isle_graywall1_2
E island/isle_graywall1_2a
E island/isle_graywall2_1
E island/isle_graywall2_2
W island/isle_hut3_1
W island/isle_hut3_2
W island/isle_hut3_3
W island/isle_hut3_4
W island/isle_hut3_5
W island/isle_hut3_6
W island/isle_hut3_7
W island/isle_hut4_1
W island/isle_hut4_2
W island/isle_hutdr1_1
W island/isle_hutdr1_2
W island/isle_hutflr1_1
U island/isle_light1_1
U island/isle_light1_2
U island/isle_light1_3
U island/isle_light1_4
M island/isle_metal1_1
M island/isle_metal1_2
M island/isle_metal1_2a
M island/isle_metal1_3
M island/isle_metal2_1
M island/isle_metal4_3
M island/isle_metal4_4
M island/isle_metalbl1_1
M island/isle_orangmetl1_1
M island/isle_Orngmetl1_1
M island/isle_panelm1
E island/isle_pillar
E island/isle_pillar1_1
E island/isle_pillar1_3
E island/isle_pillar1_4
E island/isle_pillar1_5
E island/isle_pillar2
E island/isle_pillar3
M island/isle_pipes1_1
W island/isle_pole1_1
W island/isle_pole1_2
W island/isle_pole1_3
W island/isle_pole1_4
W island/isle_pole1_5
W island/isle_pole1_6
W island/isle_pole1_7
W island/isle_pole2_1
W island/isle_pole2_2
W island/isle_pole3_1
