// BOND SPEECH SYSTEM SENTENCES. PLEASE DO NOT CHANGE THIS FILE! Max of 1023 sentences.

// Alura

AL_CAV_PC_Alura5 alura/cav_pc_alura5
SG_AIR_PC_SNOGUARD_5 snowguard/AIR_PC_SNOGUARD_5
SG_AIR_PC_SNOGUARD_6 snowguard/AIR_PC_SNOGUARD_6

SG_sg1_escape01 snowguard/sg1_escape01
SG_sg1_escape02 snowguard/sg1_escape02
SG_sg1_escape03 snowguard/sg1_escape03
SG_sg1_escape04 snowguard/sg1_escape04
SG_sg1_escape05 snowguard/sg1_escape05
SG_sg1_escape06 snowguard/sg1_escape06
SG_sg1_escape07 snowguard/sg1_escape07
SG_sg1_escape08 snowguard/sg1_escape08
SG_sg1_escape09 snowguard/sg1_escape09
SG_sg1_escape10 snowguard/sg1_escape10
SG_sg1_escape11 snowguard/sg1_escape11
SG_sg1_escape12 snowguard/sg1_escape12
SG_sg1_escape13 snowguard/sg1_escape13
SG_sg1_escape14 snowguard/sg1_escape14
SG_sg1_escape15 snowguard/sg1_escape15
SG_sg1_escape16 snowguard/sg1_escape16
SG_sg1_escape17 snowguard/sg1_escape17
SG_sg1_escape18 snowguard/sg1_escape18
SG_sg1_escape20 snowguard/sg1_escape20
SG_sg1_escape24 snowguard/sg1_escape24
SG_sg1_escape25 snowguard/sg1_escape25
SG_sg2_escape01 snowguard/sg2_escape01
SG_sg2_escape02 snowguard/sg2_escape02
SG_sg2_escape03 snowguard/sg2_escape03
SG_sg2_escape04 snowguard/sg2_escape04

SG_sg_spotlights1 snowguard/sg_spotlights1

//Truck Driver
TD_DELIVERY1 truck_driver/td_delivery1
TD_DELIVERY2 truck_driver/td_delivery2

// Castle Guard
CG_POK0 castle_guard/CG_greet1
CG_POK1 castle_guard/CG_greet2
CG_POK2 castle_guard/CG_greet3
CG_POK3 castle_guard/CG_greet4
CG_POK4 castle_guard/CG_greet5
CG_POK5 castle_guard/CG_greet6
CG_POK6 castle_guard/CG_greet7

CG_PAIN0 snowguard/sg_pain1
CG_PAIN1 snowguard/sg_pain2
CG_PAIN2 snowguard/sg_pain3
CG_PAIN3 snowguard/sg_pain4
CG_PAIN4 snowguard/sg_pain5
CG_PAIN5 snowguard/sg_pain6
CG_PAIN6 snowguard/sg_pain7
CG_PAIN7 snowguard/sg_pain8
CG_PAIN8 snowguard/sg_pain9

CG_ALERT0 castle_guard/CG_alerted1
CG_ALERT1 castle_guard/CG_alerted2
CG_ALERT2 castle_guard/CG_alerted3
CG_ALERT3 castle_guard/CG_alerted4
CG_ALERT4 castle_guard/CG_alerted5

CG_TAUNT0 castle_guard/CG_combat1
CG_TAUNT1 castle_guard/CG_combat2
CG_TAUNT2 castle_guard/CG_combat3
CG_TAUNT3 castle_guard/CG_combat4
CG_TAUNT4 castle_guard/CG_combat5

CG_SURPRISE0 snowguard/sg_surprise1
CG_SURPRISE1 snowguard/sg_surprise2
CG_SURPRISE2 snowguard/sg_surprise3
CG_SURPRISE3 snowguard/sg_surprise4
CG_SURPRISE4 snowguard/sg_surprise5

// Austrian Party Guy
P1_POK0 party_guys/party_guy_greet1_aus
P1_POK1 party_guys/party_guy_greet10_aus
P1_POK2 party_guys/party_guy_greet11_aus
P1_POK3 party_guys/party_guy_greet12_aus
P1_POK4 party_guys/party_guy_greet13_aus
P1_POK5 party_guys/party_guy_greet14_aus
P1_POK6 party_guys/party_guy_greet15_aus
P1_POK7 party_guys/party_guy_greet16_aus
P1_POK8 party_guys/party_guy_greet17_aus
P1_POK9 party_guys/party_guy_greet18_aus
P1_POK10 party_guys/party_guy_greet2_aus
P1_POK11 party_guys/party_guy_greet3_aus
P1_POK12 party_guys/party_guy_greet5_aus
P1_POK13 party_guys/party_guy_greet6_aus
P1_POK14 party_guys/party_guy_greet7_aus
P1_POK15 party_guys/party_guy_greet8_aus
P1_POK16 party_guys/party_guy_greet9_aus

// British Party Guy
P2_POK0 party_guys/party_guy_greet1_brit
P2_POK1 party_guys/party_guy_greet10_brit
P2_POK2 party_guys/party_guy_greet11_brit
P2_POK3 party_guys/party_guy_greet12_brit
P2_POK4 party_guys/party_guy_greet13_brit
P2_POK5 party_guys/party_guy_greet14_brit
P2_POK6 party_guys/party_guy_greet15_brit
P2_POK7 party_guys/party_guy_greet16_brit
P2_POK8 party_guys/party_guy_greet17_brit
P2_POK9 party_guys/party_guy_greet18_brit
P2_POK10 party_guys/party_guy_greet2_brit
P2_POK11 party_guys/party_guy_greet3_brit
P2_POK12 party_guys/party_guy_greet5_brit
P2_POK13 party_guys/party_guy_greet6_brit
P2_POK14 party_guys/party_guy_greet7_brit
P2_POK15 party_guys/party_guy_greet8_brit
P2_POK16 party_guys/party_guy_greet9_brit

// Austrian Party Gal
P3_POK0 party_girls/party_gal_greet1_aus
P3_POK1 party_girls/party_gal_greet10_aus
P3_POK2 party_girls/party_gal_greet11_aus
P3_POK3 party_girls/party_gal_greet12_aus
P3_POK4 party_girls/party_gal_greet13_aus
P3_POK5 party_girls/party_gal_greet14_aus
P3_POK6 party_girls/party_gal_greet15_aus
P3_POK7 party_girls/party_gal_greet16_aus
P3_POK8 party_girls/party_gal_greet17_aus
P3_POK9 party_girls/party_gal_greet18_aus
P3_POK10 party_girls/party_gal_greet2_aus
P3_POK11 party_girls/party_gal_greet3_aus
P3_POK12 party_girls/party_gal_greet4_aus
P3_POK13 party_girls/party_gal_greet5_aus
P3_POK14 party_girls/party_gal_greet6_aus
P3_POK15 party_girls/party_gal_greet7_aus
P3_POK16 party_girls/party_gal_greet8_aus
P3_POK17 party_girls/party_gal_greet9_aus

// British Party Gal
P4_POK0 party_girls/party_gal_greet1_brit
P4_POK1 party_girls/party_gal_greet10_brit
P4_POK2 party_girls/party_gal_greet11_brit
P4_POK3 party_girls/party_gal_greet12_brit
P4_POK4 party_girls/party_gal_greet13_brit
P4_POK5 party_girls/party_gal_greet14_brit
P4_POK6 party_girls/party_gal_greet15_brit
P4_POK7 party_girls/party_gal_greet16_brit
P4_POK8 party_girls/party_gal_greet17_brit
P4_POK9 party_girls/party_gal_greet18_brit
P4_POK10 party_girls/party_gal_greet2_brit
P4_POK11 party_girls/party_gal_greet3_brit
P4_POK12 party_girls/party_gal_greet4_brit
P4_POK13 party_girls/party_gal_greet5_brit
P4_POK14 party_girls/party_gal_greet6_brit
P4_POK15 party_girls/party_gal_greet7_brit
P4_POK16 party_girls/party_gal_greet8_brit
P4_POK17 party_girls/party_gal_greet9_brit

// Kiko
KI_POK0 kiko/kiko_greet1
KI_POK1 kiko/kiko_greet2
KI_POK2 kiko/kiko_greet3
KI_POK3 kiko/kiko_greet4
KI_POK4 kiko/kiko_greet5
KI_POK5 kiko/kiko_greet6
KI_POK6 kiko/kiko_greet7
KI_POK7 kiko/kiko_greet8

// Waiter
WA_POK0 waiter/waiter_offer1
WA_POK1 waiter/waiter_offer2
WA_POK2 waiter/waiter_offer4

// Rook
RO_POK0 rook/rook_greet1
RO_POK1 rook/rook_greet2
RO_POK2 rook/rook_greet3
RO_POK3 rook/rook_greet4

// Zoe Nightshade
ZO_GONDOLA1 zoe/zoe_gondola1
ZO_GONDOLA2 zoe/zoe_gondola2
ZO_GONDOLA3 zoe/zoe_gondola3
ZO_GONDOLA4 zoe/zoe_gondola4
ZO_GONDOLA5 zoe/zoe_gondola5
ZO_GONDOLA6 zoe/zoe_gondola6

ZO_ESCAPE01 zoe/zoe_escape01

ZO_ESCAPE03 zoe/zoe_escape03

ZO_ESCAPE05 zoe/zoe_escape05
ZO_ESCAPE06 zoe/zoe_escape06

ZO_ESCAPE08 zoe/zoe_escape08
ZO_ESCAPE09 zoe/zoe_escape09
ZO_ESCAPE10 zoe/zoe_escape10
ZO_ESCAPE11 zoe/zoe_escape11
ZO_ESCAPE12 zoe/zoe_escape12
ZO_ESCAPE13 zoe/zoe_escape13
ZO_ESCAPE14 zoe/zoe_escape14

ZO_ESCAPE16 zoe/zoe_escape16
ZO_ESCAPE17 zoe/zoe_escape17
ZO_ESCAPE18 zoe/zoe_escape18
ZO_ESCAPE19 zoe/zoe_escape19
ZO_ESCAPE20 zoe/zoe_escape20
ZO_ESCAPE21 zoe/zoe_escape21
ZO_ESCAPE22 zoe/zoe_escape22

ZO_ESCAPE24 zoe/zoe_escape24
ZO_ESCAPE25 zoe/zoe_escape25
ZO_ESCAPE26 zoe/zoe_escape26

ZO_AIR_PC_ZOE_001 zoe/AIR_PC_ZOE_001
ZO_AIR_PC_ZOE_002 zoe/AIR_PC_ZOE_002
ZO_AIR_PC_ZOE_003 zoe/AIR_PC_ZOE_003
ZO_AIR_PC_ZOE_004 zoe/AIR_PC_ZOE_004
ZO_AIR_PC_ZOE_005 zoe/AIR_PC_ZOE_005
ZO_AIR_PC_ZOE_006 zoe/AIR_PC_ZOE_006
ZO_AIR_PC_ZOE_007 zoe/AIR_PC_ZOE_007
ZO_AIR_PC_ZOE_008 zoe/AIR_PC_ZOE_008
ZO_AIR_PC_ZOE_009 zoe/AIR_PC_ZOE_009
ZO_AIR_PC_ZOE_010 zoe/AIR_PC_ZOE_010
ZO_AIR_PC_ZOE_011 zoe/AIR_PC_ZOE_011
ZO_AIR_PC_ZOE_012 zoe/AIR_PC_ZOE_012
ZO_AIR_PC_ZOE_013 zoe/AIR_PC_ZOE_013
ZO_AIR_PC_ZOE_014 zoe/AIR_PC_ZOE_014
ZO_AIR_PC_ZOE_015 zoe/AIR_PC_ZOE_015
ZO_AIR_PC_ZOE_016 zoe/AIR_PC_ZOE_016
ZO_AIR_PC_ZOE_017 zoe/AIR_PC_ZOE_017
ZO_AIR_PC_ZOE_018 zoe/AIR_PC_ZOE_018
ZO_AIR_PC_ZOE_019 zoe/AIR_PC_ZOE_019
ZO_AIR_PC_ZOE_020 zoe/AIR_PC_ZOE_020
ZO_AIR_PC_ZOE_021 zoe/AIR_PC_ZOE_021
ZO_AIR_PC_ZOE_022 zoe/AIR_PC_ZOE_022
ZO_AIR_PC_ZOE_023 zoe/AIR_PC_ZOE_023
ZO_AIR_PC_ZOE_024 zoe/AIR_PC_ZOE_024
ZO_AIR_PC_ZOE_025 zoe/AIR_PC_ZOE_025
ZO_AIR_PC_ZOE_026 zoe/AIR_PC_ZOE_026

// SECURITY GUARD
SC_INTERCOM01  security/sg_intercom1
SC_INTERCOM02  security/sg_intercom2
SC_INTERCOM03  security/sg_intercom3
SC_INTERCOM04  security/sg_intercom4
SC_INTERCOM05  security/sg_intercom5
SC_INTERCOM06  security/sg_intercom6
SC_INTERCOM07  security/sg_intercom7

SC_LOB_A1 security/sg_chat1_guard_A_1
SC_LOB_A2 security/sg_chat1_guard_A_2
SC_LOB_A3 security/sg_chat1_guard_A_3
SC_LOB_A4 security/sg_chat1_guard_A_4
SC_LOB_B1 security/sg_chat1_guard_B_1
SC_LOB_B2 security/sg_chat1_guard_B_2
SC_LOB_B3 security/sg_chat1_guard_B_3

SC_LOB_A11 security/sg_chat2_guard_A_1
SC_LOB_A12 security/sg_chat2_guard_A_2
SC_LOB_B11 security/sg_chat2_guard_B_1
SC_LOB_C11 security/sg_chat2_guard_C_1
SC_LOB_C12 security/sg_chat2_guard_C_2
SC_LOB_C13 security/sg_chat2_guard_C_3

SC_GAR_A1 security/sg_chat3_guard_A_1
SC_GAR_A2 security/sg_chat3_guard_A_2
SC_GAR_A3 security/sg_chat3_guard_A_3
SC_GAR_A4 security/sg_chat3_guard_A_4
SC_GAR_A5 security/sg_chat3_guard_A_5
SC_GAR_A6 security/sg_chat3_guard_A_6
SC_GAR_A7 security/sg_chat3_guard_A_7
SC_GAR_B1 security/sg_chat3_guard_B_1
SC_GAR_B2 security/sg_chat3_guard_B_2
SC_GAR_B3 security/sg_chat3_guard_B_3
SC_GAR_B4 security/sg_chat3_guard_B_4
SC_GAR_B5 security/sg_chat3_guard_B_5
SC_GAR_B6 security/sg_chat3_guard_B_6
SC_GAR_B7 security/sg_chat3_guard_B_7

SC_ELECROOM_B_1 security/sg_chat4_guard_A_1
SC_ELECROOM_B_2 security/sg_chat4_guard_A_2
SC_ELECROOM_B_3 security/sg_chat4_guard_A_3
SC_ELECROOM_B_4 security/sg_chat4_guard_A_4
SC_ELECROOM_B_5 security/sg_chat4_guard_A_5

SC_DARKNESS_B_1 security/sg_chat5_guard_A_1
SC_DARKNESS_B_2 security/sg_chat5_guard_A_2
SC_DARKNESS_B_3 security/sg_chat5_guard_A_3
SC_DARKNESS_B_4 security/sg_chat5_guard_A_4
SC_DARKNESS_B_5 security/sg_chat5_guard_A_5
SC_DARKNESS_B_6 security/sg_chat5_guard_A_6
SC_DARKNESS_B_7 security/sg_chat5_guard_A_7
SC_DARKNESS_B_8 security/sg_chat5_guard_A_8

SC_STILLDARK_B_1 security/sg_chat6_guard_A_1
SC_STILLDARK_B_2 security/sg_chat6_guard_A_2
SC_STILLDARK_B_3 security/sg_chat6_guard_A_3

// Maintenance Worker
MN_MACROOM_A_1 maintenance/mn_chat1_worker_A_1
MN_MACROOM_A_2 maintenance/mn_chat1_worker_A_2
MN_MACROOM_B_1 maintenance/mn_chat1_worker_B_1
MN_MACROOM_B_2 maintenance/mn_chat2_worker_B_1
MN_MACROOM_C_1 maintenance/mn_chat2_worker_A_1
MN_MACROOM_C_2 maintenance/mn_chat2_worker_A_2

MN_ELECROOM_A_1 maintenance/mn_chat3_worker_A_1
MN_ELECROOM_A_2 maintenance/mn_chat3_worker_A_2
MN_ELECROOM_A_3 maintenance/mn_chat3_worker_A_3
MN_ELECROOM_A_4 maintenance/mn_chat3_worker_A_4
MN_ELECROOM_A_5 maintenance/mn_chat3_worker_A_5
MN_ELECROOM_A_6 maintenance/mn_chat3_worker_A_6

MN_DARKNESS_A_1 maintenance/mn_chat4_worker_A_1
MN_DARKNESS_A_2 maintenance/mn_chat4_worker_A_2
MN_DARKNESS_A_3 maintenance/mn_chat4_worker_A_3
MN_DARKNESS_A_4 maintenance/mn_chat4_worker_A_4
MN_DARKNESS_A_5 maintenance/mn_chat4_worker_A_5
MN_DARKNESS_A_6 maintenance/mn_chat4_worker_A_6
MN_DARKNESS_A_7 maintenance/mn_chat4_worker_A_7
MN_DARKNESS_A_8 maintenance/mn_chat4_worker_A_8

MN_STILLDARK_A1 maintenance/mn_chat5_worker_A_1
MN_STILLDARK_A2 maintenance/mn_chat5_worker_A_2
