// [texture name]	[detail texture name]		[hscale]	[vscale]

br_bk-oil02             detail/dt_metal1		10.0		10.0256  256  no
br_bk-plaster01         detail/dt_stone1		10.0		10.0256  256  no
br_bk-plaster02         detail/dt_stone1		10.0		10.0256  256  no
br_bk-shop01            detail/dt_metal1		10.0		10.0256  256  no
br_bk-sign01            detail/dt_metal1		10.0		10.0256  256  no
br_bk-wall01            detail/dt_stone1		10.0		10.0256  256  no
br_bk_button_of         detail/dt_metal1		10.0		10.0256  256  no
br_bk_food01            detail/dt_stone1		10.0		10.0256  256  no
br_bk_sign03            detail/dt_metal1		10.0		10.0256  256  no
br_bk_sign04            detail/dt_metal1		10.0		10.0256  256  no
br_block01              detail/dt_stone1		10.0		10.0256  256  no
br_block02              detail/dt_stone1		10.0		10.0256  256  no
br_ceil01               detail/dt_stone1		10.0		10.0256  256  no
br_door01               detail/dt_stone1		10.0		10.0256  256  no
br_floor01              detail/dt_stone1		10.0		10.0256  256  no
br_floor03              detail/dt_stone1		10.0		10.0256  256  no
br_floor04              detail/dt_stone1		10.0		10.0256  256  no
br_floor05              detail/dt_stone1		10.0		10.0256  256  no
br_floor11              detail/dt_stone1		10.0		10.0256  256  no
br_floor12              detail/dt_stone1		10.0		10.0256  256  no
br_flr01                detail/dt_stone1		10.0		10.0256  256  no
br_plaster01            detail/dt_stone1		10.0		10.0256  256  no
br_Roads01              detail/dt_stone1		10.0		10.0256  256  no
br_wall01               detail/dt_stone1		10.0		10.0256  256  no
br_win01                detail/dt_grass1		10.0		10.0256  256  no
camo_cont03             detail/dt_metal1		10.0		10.0256  256  no
camo_cont04             detail/dt_metal1		10.0		10.0256  256  no
camo_cont05             detail/dt_metal1		10.0		10.0256  256  no
camo_cont06             detail/dt_metal1		10.0		10.0256  256  no
dm_bs05                 detail/dt_stone1		10.0		10.0256  256  no
hidden_wall07           detail/dt_stone1		10.0		10.0256  256  no
hk_w52                  detail/dt_stone1		10.0		10.0256  256  no
lite3_off               detail/dt_grass1		10.0		10.0256  256  no
lite3_on                detail/dt_grass1		10.0		10.0256  256  no
load01                  detail/dt_stone1		10.0		10.0256  256  no
rex_lamp01              detail/dt_grass1		10.0		10.0256  256  no
tusc_lamp01             detail/dt_grass1		10.0		10.0256  256  no
{br_bk-door07           detail/dt_metal1		10.0		10.0256  256  no
{br_bk-g8               detail/dt_metal1		10.0		10.0256  256  no
{br_bk-tent01           detail/dt_stone1		10.0		10.0256  256  no
{br_bk_shelf01          detail/dt_metal1		10.0		10.0256  256  no
{br_bk_sign02           detail/dt_metal1		10.0		10.0256  256  no
{br_fence01             detail/dt_metal1		10.0		10.0256  256  no
{br_oilpump02           detail/dt_metal1		10.0		10.0256  256  no
{camo_wire01            detail/dt_metal1		10.0		10.0256  256  no
black                   detail/dt_stone1		10.0		10.0256  256  no
green_01                detail/dt_stone1		10.0		10.0256  256  no
grid2                   detail/dt_stone1		10.0		10.0256  256  no
grid_blue               detail/dt_stone1		10.0		10.0256  256  no
grid_red                detail/dt_stone1		10.0		10.0256  256  no
origin                  detail/dt_stone1		10.0		10.0256  256  no
{ladder                 detail/dt_stone1		10.0		10.0256  256  no
