(InGameID*10000)+costumeSN,CostumeModelName
240949,buffclassb_head_w
250949,buffclassb_head_w
280949,buffclassb_head_w
310949,buffclassb_head_w
320949,buffclassb_head_w
330949,buffclassb_head_w
390949,buffclassb_head_w
400949,buffclassb_head_w
430949,buffclassb_head_w
440949,buffclassb_head_w
460949,buffclassb_head_w
480949,buffclassb_head_w
500949,buffclassb_head_w
510949,buffclassb_head_w
530949,buffclassb_head_w
580949,buffclassb_head_w
590949,buffclassb_head_w
640949,buffclassb_head_w
650949,buffclassb_head_w
660949,buffclassb_head_w
670949,buffclassb_head_w
690949,buffclassb_head_w
700949,buffclassb_head_w
720949,buffclassb_head_w
740949,buffclassb_head_w
760949,buffclassb_head_w
770949,buffclassb_head_w
780949,buffclassb_head_w
790949,buffclassb_head_w
800949,buffclassb_head_w
810949,buffclassb_head_w
820949,buffclassb_head_w
860949,buffclassb_head_w
870949,buffclassb_head_w
880949,buffclassb_head_w
890949,buffclassb_head_w
900949,buffclassb_head_w
910949,buffclassb_head_w
920949,buffclassb_head_w
930949,buffclassb_head_w
940949,buffclassb_head_w
960949,buffclassb_head_w
970949,buffclassb_head_w
980949,buffclassb_head_w
990949,buffclassb_head_w
1000949,buffclassb_head_w
1010949,buffclassb_head_w
1040949,buffclassb_head_w
1060949,buffclassb_head_w
1080949,buffclassb_head_w
1090949,buffclassb_head_w
1110949,buffclassb_head_w
1120949,buffclassb_head_w
208289,buffclass19s4tr_face_w
218289,buffclass19s4tr_face_w
228289,buffclass19s4tr_face_w
238289,buffclass19s4tr_face_w
248289,buffclass19s4tr_face_w
258289,buffclass19s4tr_face_w
288289,buffclass19s4tr_face_w
318289,buffclass19s4tr_face_w
328289,buffclass19s4tr_face_w
338289,buffclass19s4tr_face_w
398289,buffclass19s4tr_face_w
408289,buffclass19s4tr_face_w
438289,buffclass19s4tr_face_w
448289,buffclass19s4tr_face_w
468289,buffclass19s4tr_face_w
488289,buffclass19s4tr_face_w
508289,buffclass19s4tr_face_w
518289,buffclass19s4tr_face_w
538289,buffclass19s4tr_face_w
588289,buffclass19s4tr_face_w
598289,buffclass19s4tr_face_w
648289,buffclass19s4tr_face_w
658289,buffclass19s4tr_face_w
668289,buffclass19s4tr_face_w
678289,buffclass19s4tr_face_w
698289,buffclass19s4tr_face_w
708289,buffclass19s4tr_face_w
728289,buffclass19s4tr_face_w
748289,buffclass19s4tr_face_w
768289,buffclass19s4tr_face_w
778289,buffclass19s4tr_face_w
788289,buffclass19s4tr_face_w
798289,buffclass19s4tr_face_w
808289,buffclass19s4tr_face_w
818289,buffclass19s4tr_face_w
828289,buffclass19s4tr_face_w
868289,buffclass19s4tr_face_w
878289,buffclass19s4tr_face_w
888289,buffclass19s4tr_face_w
898289,buffclass19s4tr_face_w
908289,buffclass19s4tr_face_w
918289,buffclass19s4tr_face_w
928289,buffclass19s4tr_face_w
938289,buffclass19s4tr_face_w
948289,buffclass19s4tr_face_w
968289,buffclass19s4tr_face_w
978289,buffclass19s4tr_face_w
988289,buffclass19s4tr_face_w
998289,buffclass19s4tr_face_w
1008289,buffclass19s4tr_face_w
1048289,buffclass19s4tr_face_w
1068289,buffclass19s4tr_face_w
1088289,buffclass19s4tr_face_w
1098289,buffclass19s4tr_face_w
1118289,buffclass19s4tr_face_w
1128289,buffclass19s4tr_face_w
208289,y20s1armygat_head_w
218289,y20s1armygat_head_w
228289,y20s1armygat_head_w
238289,y20s1armygat_head_w
248289,y20s1armygat_head_w
258289,y20s1armygat_head_w
288289,y20s1armygat_head_w
318289,y20s1armygat_head_w
328289,y20s1armygat_head_w
338289,y20s1armygat_head_w
398289,y20s1armygat_head_w
408289,y20s1armygat_head_w
438289,y20s1armygat_head_w
448289,y20s1armygat_head_w
468289,y20s1armygat_head_w
488289,y20s1armygat_head_w
508289,y20s1armygat_head_w
518289,y20s1armygat_head_w
538289,y20s1armygat_head_w
588289,y20s1armygat_head_w
598289,y20s1armygat_head_w
648289,y20s1armygat_head_w
658289,y20s1armygat_head_w
668289,y20s1armygat_head_w
678289,y20s1armygat_head_w
698289,y20s1armygat_head_w
708289,y20s1armygat_head_w
728289,y20s1armygat_head_w
748289,y20s1armygat_head_w
768289,y20s1armygat_head_w
778289,y20s1armygat_head_w
788289,y20s1armygat_head_w
798289,y20s1armygat_head_w
808289,y20s1armygat_head_w
818289,y20s1armygat_head_w
828289,y20s1armygat_head_w
868289,y20s1armygat_head_w
878289,y20s1armygat_head_w
888289,y20s1armygat_head_w
898289,y20s1armygat_head_w
908289,y20s1armygat_head_w
918289,y20s1armygat_head_w
928289,y20s1armygat_head_w
938289,y20s1armygat_head_w
948289,y20s1armygat_head_w
968289,y20s1armygat_head_w
978289,y20s1armygat_head_w
988289,y20s1armygat_head_w
998289,y20s1armygat_head_w
1008289,y20s1armygat_head_w
1048289,y20s1armygat_head_w
1068289,y20s1armygat_head_w
1088289,y20s1armygat_head_w
1098289,y20s1armygat_head_w
1118289,y20s1armygat_head_w
1128289,y20s1armygat_head_w
